KOD,NAZEV,LATNAZEV,ANAZEV,DOD,DDO,NEPLATNOST
P5105,Experimentální chirurgie,,Experimental Surgery,,,
P5106,Fyziologie a patofyziologie člověka,,Human Physiology and Pathophysiology,,,
P5107,Gerontologie,,Gerontologogy,,,
P5108,Neurovědy,,Neurosciences,,,
P5109,Preventivní medicína,,Preventive Medicine,,,
P5110,Lékařská biofyzika,,Medical Biophysics,,,
P5112,"Anatomie, histologie a embryologie",,"Anatomy, Histology and Embryology",,,
P5113,Fyziologie a patologická fyziologie,,Physiology and Pathological Physiology,,,
P5114,Gynekologie a porodnictví,,Gyneacology and Obstetrics,,,
P5115,"Hygiena, preventivní lékařství a epidemiologie",,"Hygiene, Preventive Medicine and Epidemiology",,,
P5116,Chirurgie,,Surgery,,,
P5117,Lékařská biologie,,Medical Biology,,,
P5118,Lékařská farmakologie,,Medical Pharmacology,,,
P5119,Lékařská genetika,,,,,
P5120,Lékařská chemie a biochemie,,Medical Chemistry and Biochemistry,,,
P5121,Lékařská imunologie,,Medical Immunology,,,
P5122,Lékařská mikrobiologie,,Medical Microbiology,,,
P5123,Neurologie,,Neurology,,,
P5124,Pediatrie,,Pediatrics,,,
P5125,Otorinolaryngologie a chirurgie hlavy a krku,,,,,
P5126,Patologická anatomie a soudní lékařství,,,,,
P5127,Psychiatrie,,Psychiatry,,,
P5128,Sociální lékařství,,Social Medicine,,,
P5129,Vnitřní nemoci,,Internal Medicine,,,
P5130,Zobrazovací metody,,,,,
P5131,Lékařská etika,,Medical Ethics,,,
P5132,Dějiny lékařství,,History of Medicine,,,
P5135,Epidemiologie,,Epidemiology,,,
P5136,Molekulární patologie,,Molecular Pathology,,,
P5137,Otorhinolaryngologie,,Otorhinolaryngology,,,
P5138,Vojenská hygiena,,,,,
P5139,Vojenská chirurgie,,,,,
P5140,Vojenská radiobiologie,,,,,
P5141,Vojenské vnitřní lékařství,,,,,
P5142,Klinická onkologie a radioterapie,,Clinical Oncology and Radiotherapy,,,
P5143,Neurologie a psychiatrie,,Neurology and psychiatry,,,
P5144,Dermatovenerologie,,Dermatology,,,
P5145,Patologie,,Pathological Anatomy,,,
P5146,Radiologie,,Radiology,,,
P5147,Oční lékařství,,Ophthalmology,,,
P5148,Urologie,,Urology,,,
P5149,Všeobecné lékařství (čtyřleté),,,,,
P5150,Zobrazovací metody v lékařství,,Imagine Methods in Medicine,,,
P5151,Klinická biochemie,,Clinical Biochemistry,,,
P5152,Lékařská biologie (čtyřleté),,,,,
P5153,Oftalmologie (čtyřleté),,,,,
P5154,"Anatomie, histologie a embryologie (čtyřleté)",,,,,
P5155,Stomatologie - Zubní lékařství (čtyřleté),,,,,
P5156,Fyziologie a patologická fyziologie (čtyřleté),,,,,
P5157,Lékařská farmakologie (čtyřleté),,,,,
P5158,Lékařská chemie a biochemie (čtyřleté),,,,,
P5159,Lékařská mikrobiologie a imunologie (čtyřleté),,,,,
P5160,Psychiatrie (čtyřleté),,,,,
P5161,Sociální lékařství (čtyřleté),,,,,
